sequence,category_sequence,name,category,subcategory,status,source
60,20,UMATTR Skin Winter Moisture Kit,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
61,1,UMATTR Glow Primer,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
62,2,UMATTR Glow Hydrating Primer,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
63,3,UMATTR Glow Matte Primer,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
64,4,UMATTR Glow Foundation,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
65,5,UMATTR Glow Skin Tint,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
66,6,UMATTR Glow Concealer,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
67,7,UMATTR Glow Corrector,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
68,8,UMATTR Glow Setting Powder,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
69,9,UMATTR Glow Pressed Powder,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
70,10,UMATTR Glow Bronzer,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
71,11,UMATTR Glow Contour Stick,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
72,12,UMATTR Glow Blush,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
73,13,UMATTR Glow Highlighter,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
74,14,UMATTR Glow Setting Spray,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
75,15,UMATTR Glow Makeup Remover Balm,UMATTR Glow Makeup,Face Products,Concept / Master List,UMATTR Official Product Master List
76,16,UMATTR Glow Neutral Eyeshadow Palette,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
77,17,UMATTR Glow Gold Eyeshadow Palette,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
78,18,UMATTR Glow Everyday Brown Palette,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
79,19,UMATTR Glow Eyeliner Pencil,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
80,20,UMATTR Glow Liquid Liner,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
81,21,UMATTR Glow Mascara,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
82,22,UMATTR Glow Brow Pencil,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
83,23,UMATTR Glow Brow Gel,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
84,24,UMATTR Glow Brow Pomade,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
85,25,UMATTR Glow Lash Set,UMATTR Glow Makeup,Eye Products,Concept / Master List,UMATTR Official Product Master List
86,26,UMATTR Glow Foundation Brush,UMATTR Glow Makeup,Tools,Concept / Master List,UMATTR Official Product Master List
87,27,UMATTR Glow Powder Brush,UMATTR Glow Makeup,Tools,Concept / Master List,UMATTR Official Product Master List
88,28,UMATTR Glow Blush Brush,UMATTR Glow Makeup,Tools,Concept / Master List,UMATTR Official Product Master List
89,29,UMATTR Glow Eyeshadow Brush Set,UMATTR Glow Makeup,Tools,Concept / Master List,UMATTR Official Product Master List
90,30,UMATTR Glow Beauty Sponge,UMATTR Glow Makeup,Tools,Concept / Master List,UMATTR Official Product Master List
91,31,UMATTR Glow Brush Travel Case,UMATTR Glow Makeup,Tools,Concept / Master List,UMATTR Official Product Master List
92,32,UMATTR Glow Makeup Bag,UMATTR Glow Makeup,Tools,Concept / Master List,UMATTR Official Product Master List
93,1,UMATTR Glow Lip Balm,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
94,2,UMATTR Glow Lip Oil,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
95,3,UMATTR Glow Clear Gloss,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
96,4,UMATTR Glow Nude Gloss,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
97,5,UMATTR Glow Brown Gloss,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
98,6,UMATTR Glow Champagne Gloss,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
99,7,UMATTR Glow Soft Pink Gloss,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
100,8,UMATTR Glow Deep Berry Gloss,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
101,9,UMATTR Glow Lip Liner — Brown,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
102,10,UMATTR Glow Lip Liner — Deep Brown,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
103,11,UMATTR Glow Lip Liner — Nude Rose,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
104,12,UMATTR Glow Lipstick — Everyday Nude,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
105,13,UMATTR Glow Lipstick — Soft Brown,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
106,14,UMATTR Glow Lipstick — Classic Red,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
107,15,UMATTR Glow Lipstick — Berry Crown,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
108,16,UMATTR Glow Matte Liquid Lip,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
109,17,UMATTR Glow Satin Liquid Lip,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
110,18,UMATTR Glow Lip Scrub,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
111,19,UMATTR Glow Lip Mask,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
112,20,UMATTR Glow Lip Kit,UMATTR Glow Lips,Lip Products,Concept / Master List,UMATTR Official Product Master List
113,1,UMATTR Digest Comfort Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
114,2,UMATTR Calm Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
115,3,UMATTR Sleep Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
116,4,UMATTR Focus Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
117,5,UMATTR Energy Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
118,6,UMATTR Immunity Support Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
119,7,UMATTR Beauty Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
120,8,UMATTR Bloat Comfort Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
121,9,UMATTR Ginger Mint Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
122,10,UMATTR Hibiscus Glow Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
123,11,UMATTR Lemon Ginger Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
124,12,UMATTR Peppermint Comfort Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
125,13,UMATTR Chamomile Calm Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
126,14,UMATTR Turmeric Glow Tea,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
127,15,UMATTR Herbal Tea Sampler Box,UMATTR Tea & Wellness,Tea Collection,Concept / Master List,UMATTR Official Product Master List
128,16,UMATTR Digest Comfort Powder,UMATTR Tea & Wellness,Powders and Wellness Blends,Concept / Master List,UMATTR Official Product Master List
129,17,UMATTR Greens Powder,UMATTR Tea & Wellness,Powders and Wellness Blends,Concept / Master List,UMATTR Official Product Master List
130,18,UMATTR Aloe Wellness Powder,UMATTR Tea & Wellness,Powders and Wellness Blends,Concept / Master List,UMATTR Official Product Master List
131,19,UMATTR Ginger Digest Powder,UMATTR Tea & Wellness,Powders and Wellness Blends,Concept / Master List,UMATTR Official Product Master List
132,20,UMATTR Daily Wellness Powder,UMATTR Tea & Wellness,Powders and Wellness Blends,Concept / Master List,UMATTR Official Product Master List
133,21,UMATTR Tea Mug,UMATTR Tea & Wellness,Tea Accessories,Concept / Master List,UMATTR Official Product Master List
134,22,UMATTR Tea Infuser,UMATTR Tea & Wellness,Tea Accessories,Concept / Master List,UMATTR Official Product Master List
135,23,UMATTR Glass Tea Pot,UMATTR Tea & Wellness,Tea Accessories,Concept / Master List,UMATTR Official Product Master List
136,24,UMATTR Tea Storage Tin,UMATTR Tea & Wellness,Tea Accessories,Concept / Master List,UMATTR Official Product Master List
137,25,UMATTR Tea Gift Box,UMATTR Tea & Wellness,Tea Accessories,Concept / Master List,UMATTR Official Product Master List
138,1,Ivory Wrap Midi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
139,2,Ribbed Knit Midi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
140,3,Satin Slip Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
141,4,Square Neck Midi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
142,5,Belted Shirt Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
143,6,Polo Knit Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
144,7,One-Shoulder Midi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
145,8,Tiered Maxi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
146,9,Tank Knit Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
147,10,Ruched Wrap Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
148,11,Long Sleeve Slit Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
149,12,Bias Cut Satin Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
150,13,Off-Shoulder Midi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
151,14,Pleated Midi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
152,15,Collar Knit Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
153,16,Draped Satin Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
154,17,Kaftan Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
155,18,Velvet Evening Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
156,19,Square Neck Bodycon Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
157,20,Floral Chiffon Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
158,21,Button Front Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
159,22,Halter Neck Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
160,23,Corset Bodice Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
161,24,Knit Polo Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
162,25,Smocked Maxi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
163,26,Cowl Neck Slip Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
164,27,Wrap Maxi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
165,28,Cutout Knit Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
166,29,One-Shoulder Drape Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
167,30,Ribbed Lounge Midi Dress,UMATTR Fashion,Women’s Dresses,Concept / Master List,UMATTR Official Product Master List
168,31,Satin Cowl Neck Camisole,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
169,32,Satin Collared Blouse,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
170,33,Draped High Neck Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
171,34,Silk Tie-Neck Blouse,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
172,35,Ribbed Scoop Tank,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
173,36,Sleeveless Button Blouse,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
174,37,Off-Shoulder Fold Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
175,38,Knit Polo Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
176,39,One-Shoulder Draped Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
177,40,Wrap Front Blouse,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
178,41,Ribbed Square Neck Tank,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
179,42,Balloon Sleeve Blouse,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
180,43,Pleated Neck Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
181,44,Draped Sleeveless Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
182,45,Satin Button-Down Shirt,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
183,46,Ribbed Mock Neck Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
184,47,Square Neck Peplum Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
185,48,Satin Wrap Blouse,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
186,49,Halter Neck Satin Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
187,50,Gathered Yoke Blouse,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
188,51,Tailored Vest Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
189,52,Corset Inspired Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
190,53,Asymmetric Wrap Top,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
191,54,Satin Short-Sleeve Shirt,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
192,55,Ivory Crew Neck Tee,UMATTR Fashion,Women’s Tops and Blouses,Concept / Master List,UMATTR Official Product Master List
193,56,Tailored Straight Trouser,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
194,57,High-Waist Wide-Leg Pant,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
195,58,Relaxed Linen Pant,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
196,59,Pleated Wide-Leg Trouser,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
197,60,Slim Ankle Pant,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
198,61,Knit Jogger Pant,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
199,62,High-Waist Legging,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
200,63,Ribbed Flare Legging,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
201,64,Straight-Leg Jeans,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
202,65,Wide-Leg Jeans,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
203,66,Black Denim Jeans,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
204,67,White Denim Jeans,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
205,68,Satin Midi Skirt,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
206,69,Pencil Skirt,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
207,70,Pleated Midi Skirt,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
208,71,Tennis Skort,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
209,72,Wrap Skort,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
210,73,A-Line Mini Skirt,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
211,74,Tailored Shorts,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
212,75,Denim Shorts,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
213,76,Linen Shorts,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
214,77,High-Waist Shorts,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
215,78,Bermuda Shorts,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
216,79,Cargo Shorts,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
217,80,Faux Leather Pant,UMATTR Fashion,Women’s Bottoms,Concept / Master List,UMATTR Official Product Master List
218,81,Long Trench Coat,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
219,82,Short Trench Jacket,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
220,83,Belted Wrap Coat,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
221,84,Double-Breasted Wool Coat,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
222,85,Stand Collar Coat,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
223,86,Cape Coat,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
224,87,Cropped Tweed Jacket,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
225,88,Cropped Leather Jacket,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
226,89,Satin Bomber Jacket,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
227,90,Quilted Puffer Jacket,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
228,91,Belted Puffer Coat,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
229,92,Shearling Aviator Jacket,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
230,93,Tailored Blazer,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
231,94,Oversized Blazer,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
232,95,Check Blazer,UMATTR Fashion,Women’s Outerwear,Concept / Master List,UMATTR Official Product Master List
